,Name,Rank,Pass C/A,Pass Yds,Pass TDs,Pass Int,Rush Att,Rush Yds,Rush TDs,Rec Att,Rec Yds,Rec TDs,Points,Pos,Team,$$$
1,Aaron Rodgers,20,347/538,4320,35,8,50,256,2,0,0,0,325.1,QB,GB,40
2,Adam Vinatieri,152,0/0,0,0,0,0,0,0,0,0,0,136,K,Ind,3
3,Adrian Peterson,4,0/0,0,0,0,266,1245,9,47,398,2,223.6,RB,Min,56
4,AJ Green,19,0/0,0,0,0,5,30,0,93,1318,8,180,WR,Cin,36
5,Alex Smith,244,328/525,3515,20,9,54,275,2,0,0,0,234.3,QB,KC,0
6,Alfred Blue,138,0/0,0,0,0,63,244,1,6,45,0,34.1,RB,Hou,0
7,Alfred Morris,29,0/0,0,0,0,273,1165,8,19,148,1,182.5,RB,Wsh,27
8,Allen Robinson,73,0/0,0,0,0,0,0,0,79,1039,5,131,WR,Jac,5
9,Alshon Jeffery,21,0/0,0,0,0,8,51,0,86,1170,8,168,WR,Chi,32
10,Amari Cooper,58,0/0,0,0,0,4,25,0,80,1071,5,137,WR,Oak,11
11,Ameer Abdullah,90,0/0,0,0,0,121,543,3,45,368,2,118.3,RB,Det,3
12,Andre Ellington,53,0/0,0,0,0,200,786,5,48,438,2,161.3,RB,Ari,12
13,Andre Johnson,60,0/0,0,0,0,0,0,0,71,891,8,135,WR,Ind,12
14,Andre Williams,96,0/0,0,0,0,125,508,4,7,52,0,79.2,RB,NYG,2
15,Andrew Luck,26,383/621,4489,36,16,57,268,2,0,0,0,321.2,QB,Ind,35
16,Andy Dalton,253,333/538,3777,20,19,58,187,2,0,0,0,220.3,QB,Cin,0
17,Anquan Boldin,130,0/0,0,0,0,0,0,0,65,794,3,97,WR,SF,2
18,Antonio Brown,7,0/0,0,0,0,4,26,0,117,1528,9,209.1,WR,Pit,49
19,Antonio Gates,173,0/0,0,0,0,0,0,0,42,508,4,73.7,TE,SD,3
20,Arian Foster,6,0/0,0,0,0,267,1220,6,57,446,3,218.5,RB,Hou,20
21,Austin SeferianJenkins,214,0/0,0,0,0,0,0,0,49,598,4,82.5,TE,TB,0
22,Ben Roethlisberger,70,387/597,4629,28,13,34,101,1,0,0,0,278.7,QB,Pit,9
23,Bills DST,129,0/0,0,0,0,0,0,0,0,0,0,137,DST,DST,4
24,Bishop Sankey,93,0/0,0,0,0,197,827,5,23,169,1,131,RB,Ten,3
25,Blair Walsh,224,0/0,0,0,0,0,0,0,0,0,0,128,K,Min,0
26,Brandin Cooks,36,0/0,0,0,0,13,84,0,78,1050,6,149.3,WR,NO,20
27,Brandon LaFell,76,0/0,0,0,0,0,0,0,66,862,6,122,WR,NE,4
28,Brandon Marshall,61,0/0,0,0,0,0,0,0,76,950,7,135,WR,NYJ,9
29,Breshad Perriman,94,0/0,0,0,0,0,0,0,59,816,6,117,WR,Bal,3
30,Broncos DST,141,0/0,0,0,0,0,0,0,0,0,0,112.7,DST,DST,2
31,Browns DST,256,0/0,0,0,0,0,0,0,0,0,0,97.1,DST,DST,0
32,Calvin Johnson,18,0/0,0,0,0,0,0,0,88,1299,9,183,WR,Det,39
33,Cam Newton,98,295/495,3530,23,14,102,548,4,0,0,0,274.6,QB,Car,6
34,Cardinals DST,144,0/0,0,0,0,0,0,0,0,0,0,99.7,DST,DST,2
35,Carlos Hyde,34,0/0,0,0,0,247,1030,8,19,152,0,164.7,RB,SF,22
36,Carson Palmer,181,358/565,4231,25,16,23,38,1,0,0,0,243.4,QB,Ari,2
37,Charles Clay,243,0/0,0,0,0,0,0,0,49,542,4,77.9,TE,Buf,0
38,Charles Johnson,97,0/0,0,0,0,0,0,0,58,849,5,114,WR,Min,2
39,Charles Sims,91,0/0,0,0,0,107,411,3,46,378,1,100.2,RB,TB,2
40,Chris Ivory,75,0/0,0,0,0,176,768,4,14,101,1,114.3,RB,NYJ,4
41,CJ Anderson,8,0/0,0,0,0,270,1174,9,47,402,1,215.5,RB,Den,46
42,CJ Spiller,56,0/0,0,0,0,121,554,2,61,505,2,125.4,RB,NO,9
43,Coby Fleener,251,0/0,0,0,0,0,0,0,39,470,5,77,TE,Ind,0
44,Cody Latimer,115,0/0,0,0,0,0,0,0,56,750,5,105,WR,Den,2
45,Cody Parkey,156,0/0,0,0,0,0,0,0,0,0,0,134,K,Phi,2
46,Colin Kaepernick,176,287/463,3527,15,9,101,625,3,0,0,0,254.2,QB,SF,2
47,Connor Barth,154,0/0,0,0,0,0,0,0,0,0,0,134,K,Den,2
48,Dan Bailey,159,0/0,0,0,0,0,0,0,0,0,0,130,K,Dal,2
49,Danny Woodhead,128,0/0,0,0,0,37,159,1,41,389,2,71.2,RB,SD,2
50,Darren McFadden,68,0/0,0,0,0,150,587,5,16,141,1,106.3,RB,Dal,6
51,Darren Sproles,125,0/0,0,0,0,46,211,1,38,308,1,64.2,RB,Phi,2
52,Davante Adams,109,0/0,0,0,0,0,0,0,59,818,6,117,WR,GB,2
53,David Cobb,123,0/0,0,0,0,72,304,2,2,16,0,41.1,RB,Ten,2
54,David Johnson,131,0/0,0,0,0,67,275,2,25,203,1,63.2,RB,Ari,2
55,DeAndre Hopkins,32,0/0,0,0,0,0,0,0,87,1240,5,152,WR,Hou,22
56,DeAngelo Williams,103,0/0,0,0,0,100,459,1,11,91,0,58.1,RB,Pit,2
57,Delanie Walker,146,0/0,0,0,0,0,0,0,60,688,4,90.6,TE,Ten,2
58,DeMarco Murray,10,0/0,0,0,0,262,1210,11,26,200,1,209.6,RB,Phi,46
59,Demaryius Thomas,11,0/0,0,0,0,0,0,0,102,1298,11,195,WR,Den,44
60,Denard Robinson,110,0/0,0,0,0,84,346,2,35,239,1,74.6,RB,Jac,2
61,DeSean Jackson,50,0/0,0,0,0,4,27,0,70,1066,4,132.1,WR,Wsh,12
62,DeVante Parker,114,0/0,0,0,0,0,0,0,56,784,5,108,WR,Mia,2
63,Devin Funchess,196,0/0,0,0,0,0,0,0,48,603,5,90,WR,Car,0
64,Devonta Freeman,92,0/0,0,0,0,131,520,4,37,358,1,115.3,RB,Atl,2
65,Dez Bryant,14,0/0,0,0,0,0,0,0,90,1369,10,194,WR,Dal,44
66,Dolphins DST,143,0/0,0,0,0,0,0,0,0,0,0,117.1,DST,DST,2
67,Donte Moncrief,119,0/0,0,0,0,7,44,0,41,565,4,84,WR,Ind,2
68,Dorial GreenBeckham,150,0/0,0,0,0,0,0,0,47,659,4,89,WR,Ten,2
69,Doug Baldwin,139,0/0,0,0,0,2,15,0,50,678,4,92.5,WR,Sea,0
70,Doug Martin,87,0/0,0,0,0,203,792,4,20,163,0,117.3,RB,TB,4
71,Drew Brees,44,398/607,4825,31,13,26,42,1,0,0,0,296.9,QB,NO,17
72,Duke Johnson,95,0/0,0,0,0,114,516,3,43,356,1,108.3,RB,Cle,2
73,Dwayne Allen,116,0/0,0,0,0,0,0,0,53,585,6,93.4,TE,Ind,2
74,Eagles DST,222,0/0,0,0,0,0,0,0,0,0,0,113.1,DST,DST,2
75,Eddie Lacy,2,0/0,0,0,0,308,1365,9,44,314,3,235.6,RB,GB,55
76,Eli Manning,161,394/635,4842,30,17,17,31,0,0,0,0,271.8,QB,NYG,2
77,Emmanuel Sanders,28,0/0,0,0,0,9,60,0,78,1087,7,154.2,WR,Den,27
78,Eric Decker,74,0/0,0,0,0,0,0,0,72,929,5,122,WR,NYJ,4
79,Eric Ebron,273,0/0,0,0,0,0,0,0,50,557,4,78.5,TE,Det,0
80,Frank Gore,43,0/0,0,0,0,242,991,6,34,281,1,167.4,RB,Ind,19
81,Fred Jackson,101,0/0,0,0,0,90,384,3,20,157,1,75.2,RB,Buf,2
82,Giovani Bernard,54,0/0,0,0,0,128,521,4,59,459,1,125.3,RB,Cin,9
83,Golden Tate,59,0/0,0,0,0,4,26,0,86,1067,4,130.1,WR,Det,9
84,Greg Olsen,64,0/0,0,0,0,0,0,0,68,830,5,112.3,TE,Car,9
85,Heath Miller,220,0/0,0,0,0,0,0,0,54,603,4,82.9,TE,Pit,0
86,Isaiah Crowell,65,0/0,0,0,0,206,889,5,10,83,0,122.3,RB,Cle,6
87,Jamaal Charles,3,0/0,0,0,0,245,1128,9,54,463,3,224.7,RB,KC,54
88,Jameis Winston,215,334/565,4261,22,18,39,138,1,0,0,0,232.4,QB,TB,3
89,Jarvis Landry,72,0/0,0,0,0,4,26,0,86,907,5,122.9,WR,Mia,5
90,Jason Witten,88,0/0,0,0,0,0,0,0,58,671,6,103,TE,Dal,4
91,Jay Ajayi,124,0/0,0,0,0,82,342,3,21,169,1,72.2,RB,Mia,2
92,Jay Cutler,193,341/548,3999,25,18,42,191,1,0,0,0,237.6,QB,Chi,0
93,Jeremy Hill,24,0/0,0,0,0,280,1290,10,23,171,1,206.6,RB,Cin,34
94,Jeremy Maclin,69,0/0,0,0,0,0,0,0,80,1032,5,133,WR,KC,7
95,Jerick McKinnon,111,0/0,0,0,0,86,396,2,35,263,1,83.1,RB,Min,2
96,Jets DST,140,0/0,0,0,0,0,0,0,0,0,0,109.7,DST,DST,2
97,Jimmy Graham,33,0/0,0,0,0,0,0,0,65,774,8,124.1,TE,Sea,26
98,Joe Flacco,201,338/535,3889,25,13,36,77,1,0,0,0,237.6,QB,Bal,0
99,John Brown,132,0/0,0,0,0,4,25,0,52,738,4,99,WR,Ari,2
100,Joique Bell,47,0/0,0,0,0,224,854,8,37,286,1,163.5,RB,Det,13
101,Jonathan Stewart,40,0/0,0,0,0,242,1108,5,27,185,1,160.3,RB,Car,17
102,Jordan Cameron,121,0/0,0,0,0,0,0,0,52,643,5,93.7,TE,Mia,2
103,Jordan Matthews,41,0/0,0,0,0,0,0,0,82,1011,7,143,WR,Phi,16
104,Jordan Reed,205,0/0,0,0,0,0,0,0,49,506,4,73.3,TE,Wsh,0
105,Jordy Nelson,16,0/0,0,0,0,0,0,0,84,1264,10,186,WR,GB,39
106,Joseph Randle,67,0/0,0,0,0,227,1005,7,20,163,1,158.5,RB,Dal,10
107,Josh Hill,183,0/0,0,0,0,0,0,0,46,494,6,84.7,TE,NO,2
108,Julian Edelman,42,0/0,0,0,0,8,54,0,92,985,6,139.8,WR,NE,16
109,Julio Jones,17,0/0,0,0,0,2,12,0,106,1410,8,188,WR,Atl,39
110,Julius Thomas,82,0/0,0,0,0,0,0,0,66,756,5,103.8,TE,Jac,6
111,Justin Forsett,35,0/0,0,0,0,214,987,5,52,398,2,177.4,RB,Bal,24
112,Justin Tucker,155,0/0,0,0,0,0,0,0,0,0,0,132,K,Bal,2
113,Keenan Allen,48,0/0,0,0,0,0,0,0,78,1042,6,140.1,WR,SD,12
114,Kelvin Benjamin,31,0/0,0,0,0,0,0,0,75,1078,8,153,WR,Car,24
115,Kendall Wright,108,0/0,0,0,0,4,25,0,79,865,4,110,WR,Ten,2
116,Kenny Stills,186,0/0,0,0,0,4,26,0,54,781,3,98,WR,Mia,0
117,Kevin White,62,0/0,0,0,0,0,0,0,60,829,6,118,WR,Chi,7
118,Knile Davis,104,0/0,0,0,0,90,355,4,16,120,1,78.2,RB,KC,2
119,Kyle Rudolph,216,0/0,0,0,0,0,0,0,54,600,4,83.9,TE,Min,0
120,Lamar Miller,30,0/0,0,0,0,226,1018,6,36,282,1,169.4,RB,Mia,24
121,Larry Donnell,195,0/0,0,0,0,0,0,0,50,590,5,87.9,TE,NYG,2
122,Larry Fitzgerald,100,0/0,0,0,0,0,0,0,66,830,5,113,WR,Ari,3
123,Latavius Murray,49,0/0,0,0,0,221,964,6,25,197,1,155.6,RB,Oak,14
124,LeGarrette Blount,63,0/0,0,0,0,177,798,7,8,64,0,125.4,RB,NE,7
125,LeSean McCoy,12,0/0,0,0,0,318,1425,8,30,213,1,213.5,RB,Buf,46
126,LeVeon Bell,1,0/0,0,0,0,256,1102,6,67,530,3,215.4,RB,Pit,54
127,Lions DST,148,0/0,0,0,0,0,0,0,0,0,0,99.9,DST,DST,2
128,Lorenzo Taliaferro,99,0/0,0,0,0,112,458,4,13,103,1,83.2,RB,Bal,2
129,Malcom Floyd,136,0/0,0,0,0,0,0,0,41,695,5,99,WR,SD,2
130,Marcus Mariota,248,287/469,3292,17,14,85,511,3,0,0,0,233.2,QB,Ten,3
131,Mark Ingram,25,0/0,0,0,0,233,960,11,28,216,1,185.6,RB,NO,28
132,Marques Colston,105,0/0,0,0,0,0,0,0,56,830,5,111,WR,NO,2
133,Marshawn Lynch,5,0/0,0,0,0,281,1293,10,33,259,2,222.6,RB,Sea,54
134,Martavis Bryant,86,0/0,0,0,0,4,26,0,51,764,6,114,WR,Pit,5
135,Martellus Bennett,77,0/0,0,0,0,0,0,0,69,742,5,103.9,TE,Chi,5
136,Mason Crosby,190,0/0,0,0,0,0,0,0,0,0,0,129,K,GB,2
137,Matt Forte,9,0/0,0,0,0,251,1065,6,65,599,2,211.4,RB,Chi,46
138,Matt Prater,157,0/0,0,0,0,0,0,0,0,0,0,132,K,Det,2
139,Matt Ryan,84,390/599,4595,27,13,28,88,1,0,0,0,274.6,QB,Atl,6
140,Matthew Stafford,172,384/617,4455,25,14,37,117,1,0,0,0,258.6,QB,Det,3
141,Melvin Gordon,38,0/0,0,0,0,264,1165,5,25,197,1,167.4,RB,SD,23
142,Michael Crabtree,202,0/0,0,0,0,0,0,0,61,718,3,89,WR,Oak,0
143,Michael Floyd,81,0/0,0,0,0,0,0,0,59,833,5,111,WR,Ari,3
144,Mike Evans,27,0/0,0,0,0,0,0,0,82,1228,7,162,WR,TB,28
145,Mike Wallace,66,0/0,0,0,0,0,0,0,63,950,5,123,WR,Min,7
146,Montee Ball,102,0/0,0,0,0,114,477,5,14,112,1,92.3,RB,Den,2
147,Nelson Agholor,78,0/0,0,0,0,0,0,0,67,898,6,125,WR,Phi,4
148,Odell Beckham,15,0/0,0,0,0,8,54,0,103,1374,8,190.2,WR,NYG,43
149,Owen Daniels,197,0/0,0,0,0,0,0,0,49,556,5,84.9,TE,Den,2
150,Packers DST,221,0/0,0,0,0,0,0,0,0,0,0,108.4,DST,DST,2
151,Panthers DST,255,0/0,0,0,0,0,0,0,0,0,0,105.7,DST,DST,0
152,Patriots DST,189,0/0,0,0,0,0,0,0,0,0,0,126.4,DST,DST,2
153,Percy Harvin,106,0/0,0,0,0,23,147,1,57,643,3,100,WR,Buf,2
154,Peyton Manning,39,392/607,4644,34,14,24,-6,1,0,0,0,296.9,QB,Den,22
155,Philip Rivers,167,355/561,4446,28,16,32,72,1,0,0,0,261.7,QB,SD,2
156,Pierre Garcon,175,0/0,0,0,0,0,0,0,56,724,3,90,WR,Wsh,0
157,Rams DST,134,0/0,0,0,0,0,0,0,0,0,0,122.8,DST,DST,2
158,Randall Cobb,22,0/0,0,0,0,12,78,0,88,1156,8,170.6,WR,GB,32
159,Rashad Jennings,55,0/0,0,0,0,168,673,6,20,158,1,122.4,RB,NYG,9
160,Ravens DST,142,0/0,0,0,0,0,0,0,0,0,0,108.2,DST,DST,2
161,Reggie Bush,122,0/0,0,0,0,61,263,1,36,304,1,66.1,RB,SF,2
162,Rob Gronkowski,13,0/0,0,0,0,0,0,0,83,1022,9,156,TE,NE,43
163,Robert Griffin,261,275/432,3256,17,10,71,435,3,0,0,0,226.3,QB,Wsh,0
164,Roddy White,85,0/0,0,0,0,0,0,0,69,871,5,115,WR,Atl,3
165,Rueben Randle,200,0/0,0,0,0,0,0,0,51,735,4,97,WR,NYG,0
166,Russell Wilson,37,278/455,3460,26,9,101,623,4,0,0,0,301.7,QB,Sea,21
167,Ryan Mathews,79,0/0,0,0,0,184,835,4,16,124,1,121.3,RB,Phi,4
168,Ryan Tannehill,149,370/581,4380,24,14,51,251,2,0,0,0,271.6,QB,Mia,3
169,Sam Bradford,179,334/556,3885,26,12,42,119,2,0,0,0,249.7,QB,Phi,2
170,Sammy Watkins,45,0/0,0,0,0,5,31,0,75,1044,6,141,WR,Buf,15
171,Seahawks DST,127,0/0,0,0,0,0,0,0,0,0,0,186.3,DST,DST,7
172,Shane Vereen,80,0/0,0,0,0,117,491,4,45,415,2,126.3,RB,NYG,4
173,Stephen Gostkowski,151,0/0,0,0,0,0,0,0,0,0,0,138,K,NE,3
174,Steve Smith,120,0/0,0,0,0,0,0,0,54,721,4,94,WR,Bal,2
175,Steven Hauschka,153,0/0,0,0,0,0,0,0,0,0,0,134,K,Sea,2
176,Teddy Bridgewater,191,308/505,3666,21,13,55,301,2,0,0,0,241.4,QB,Min,2
177,Terrance West,118,0/0,0,0,0,108,464,4,4,34,0,71.2,RB,Cle,2
178,Terrance Williams,166,0/0,0,0,0,0,0,0,39,641,5,94.1,WR,Dal,2
179,Tevin Coleman,52,0/0,0,0,0,195,810,7,27,219,1,146.5,RB,Atl,10
180,Texans DST,133,0/0,0,0,0,0,0,0,0,0,0,129.6,DST,DST,4
181,Theo Riddick,107,0/0,0,0,0,38,149,1,46,394,2,71.1,RB,Det,2
182,TJ Yeldon,51,0/0,0,0,0,229,971,6,28,224,1,157.4,RB,Jac,12
183,Todd Gurley,46,0/0,0,0,0,175,800,5,18,148,1,128.3,RB,StL,14
184,Tom Brady,117,303/460,3366,24,8,26,32,1,0,0,0,220.4,QB,NE,7
185,Tony Romo,113,322/497,4104,32,11,27,71,1,0,0,0,275,QB,Dal,5
186,Torrey Smith,89,0/0,0,0,0,0,0,0,57,943,4,118,WR,SF,3
187,Travis Kelce,71,0/0,0,0,0,0,0,0,74,799,5,107.3,TE,KC,7
188,Tre Mason,83,0/0,0,0,0,158,694,4,18,139,0,104.2,RB,StL,4
189,TY Hilton,23,0/0,0,0,0,4,26,0,86,1195,8,167,WR,Ind,31
190,Victor Cruz,126,0/0,0,0,0,0,0,0,57,764,4,100,WR,NYG,3
191,Vikings DST,188,0/0,0,0,0,0,0,0,0,0,0,96.4,DST,DST,2
192,Vincent Jackson,57,0/0,0,0,0,0,0,0,66,1018,5,131,WR,TB,9
193,Zach Ertz,112,0/0,0,0,0,0,0,0,56,698,5,98.5,TE,Phi,2
